id,name,description,detail,summary,category,price,brand,image_count,review_count,url
30,iPhone 17 256GB | Chính hãng,,,"iPhone 17 thường 256GB - Số 1 thu cũ, ưu đãi 5 triệu, thanh toán ngân hàng giảm 2 triệu - Mua iPhone 17 256gb giá tốt ngay",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-17-256gb.html
31,Samsung Galaxy S25 Ultra 12GB 256GB,,,"Samsung S25 Ultra giảm giá sốc 5 triệu, chip Snapdragon 8 Elite For Galaxy mạnh, chính hãng, camera sắc nét. Mua ngay S25 Ultra 5G tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html
32,Điện thoại iPhone 16 Pro Max 256GB,,,"Giá iPhone 16 Pro Max mới, ưu đãi trả góp 0%, trả trước 0 đồng, giảm đến 7,5 triệu, trợ giá lên đời 3 triệu - Mua Apple iPhone 16 Pro Max ngay",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-16-pro-max.html
33,OPPO Reno15 F 5G 8GB 256GB,,,"OPPO Reno15 F 5G màn hình 6.57 inch, pin 7000mAh. Giá 11.990.000đ, trả góp 0%, quà 4 triệu, thu cũ trợ giá 2 triệu. Mua ngay tại CellphoneS!",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-oppo-reno15-f.html
34,Samsung Galaxy S26 12GB 256GB,,,"Mua Samsung Galaxy S26 12GB 256GB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Samsung Galaxy S26 12GB 256GB tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26.html
35,HONOR X8d 8GB 128GB,,,"HONOR X8d 8GB 128GB màn hình 6.77"", mỏng nhẹ 7.5mm, pin 7.000 mAh. Giá 7.79 triệu, góp 0%, trợ giá thu cũ 1 triệu. Mua ngay tại CellphoneS!",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-honor-x8d.html
36,Xiaomi 14T Pro 12GB 512GB,,,"Giá Xiaomi 14T Pro 512gb chỉ 14Tr890 - Hiệu năng mạnh với chip MediaTek Dimensity 9300+, camera 50mp, pin 5000mah. Mua Mi 14T Pro tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/xiaomi-14t-pro.html
37,OPPO Reno15 5G 12GB 256GB,,,"OPPO Reno15 5G 12GB/256GB màn hình 6.59"", chip Dimensity 8450, pin 6200mAh. Giá 16.990.000đ, trả góp 0%, quà 4 triệu, tặng loa. Mua ngay!",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-oppo-reno15.html
38,iPhone Air 256GB | Chính hãng,,,"iPhone Air 256GB chính hãng, giá giảm đến 7 triệu, nhiều màu, sẵn hàng tại Việt Nam. Mua ngay tại CellphoneS, trả góp 0% lãi đến 12 tháng",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-air-256gb.html
39,iPhone 15 128GB | Chính hãng VN/A,,,"Mua iPhone 15 thường 128GB chính hãng VN/A - giá rẻ giảm sâu tháng 03/2026, trợ giá thu cũ lên đời 4 triệu, sẵn hàng đủ màu, trả góp 0% không trả trước.",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-15.html
